,name,starttime,endtime,flightduration,totalstops,price
122,Vistara,17:05,18:20,25h 15m,1-stop,"38,772"
123,Vistara,19:00,10:50,15h 50m,1-stop,"39,785"
124,flight data for ixigo,,,,,
125,INDIGO,22:55,01:40,2hr 45min,non-stop,5341
126,AIRASIA INDIA,22:55,01:35,2hr 40min,non-stop,5921
127,AIRASIA INDIA,22:10,03:20,5hr 10min,1 stop,5985
128,AIRASIA INDIA,20:45,03:20,6hr 35min,1 stop,5985
129,INDIGO,08:10,13:00,4hr 50min,1 stop,5986
130,INDIGO,13:30,19:05,5hr 35min,1 stop,5986
131,AIRASIA INDIA,19:25,23:35,4hr 10min,1 stop,6000
132,INDIGO,20:20,23:05,2hr 45min,non-stop,6006
133,INDIGO,01:55,06:45,4hr 50min,1 stop,6051
134,AIR INDIA,05:50,12:20,6hr 30min,1 stop,6364
135,AIR INDIA,17:00,11:25,18hr 25min,1 stop,6464
136,INDIGO,01:55,08:25,6hr 30min,1 stop,6608
137,INDIGO,15:05,20:35,5hr 30min,1 stop,6612
138,INDIGO,13:30,18:10,4hr 40min,1 stop,6735
139,INDIGO,04:55,10:20,5hr 25min,1 stop,6735
140,AIRASIA INDIA,05:00,12:45,7hr 45min,1 stop,6735
141,INDIGO,22:55,01:40,2hr 45min,non-stop,5341
142,INDIGO,05:50,08:35,2hr 45min,non-stop,6763
143,INDIGO,09:20,12:15,2hr 55min,non-stop,6763
144,SPICEJET,16:40,23:50,7hr 10min,1 stop,6862
145,AIR INDIA,11:05,11:25,24hr 20min,1 stop,6884
146,AIR INDIA,09:30,11:25,25hr 55min,1 stop,6884
147,AKASA AIR,11:40,14:25,2hr 45min,non-stop,6976
148,INDIGO,07:05,09:50,2hr 45min,non-stop,7078
149,INDIGO,11:45,14:40,2hr 55min,non-stop,7078
150,INDIGO,10:40,13:35,2hr 55min,non-stop,7078
151,INDIGO,15:30,18:30,3hr,non-stop,7078
152,GO FIRST,20:25,23:00,2hr 35min,non-stop,7152
153,GO FIRST,05:45,08:20,2hr 35min,non-stop,7152
154,AIR INDIA,21:10,00:05,2hr 55min,non-stop,7183
155,AIR INDIA,03:30,06:25,2hr 55min,non-stop,7183
156,AIR INDIA,15:35,18:35,3hr,non-stop,7183
157,INDIGO,22:55,01:40,2hr 45min,non-stop,5341
158,AIR INDIA,10:00,18:25,8hr 25min,1 stop,7217
159,AIR INDIA,09:00,18:25,9hr 25min,1 stop,7217
160,AIR INDIA,07:00,18:25,11hr 25min,1 stop,7217
161,AIR INDIA,09:00,20:25,11hr 25min,1 stop,7217
162,AIRASIA INDIA,07:50,10:40,2hr 50min,non-stop,7225
